[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.59% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.67% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 54.11% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 53.36% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 51.72% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 51.84% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 50.31% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 55.68% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 53.84% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 54.91% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 54.20% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 53.62% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 53.83% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 50.25% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 50.53% | Video: test1.mp4
[2025-07-21 15:33:22] - Event: Smoke | Confidence: 50.15% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 51.83% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 51.42% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 51.72% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 56.26% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 56.35% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 56.50% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 54.86% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 55.28% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 55.50% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 55.36% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 55.93% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 56.16% | Video: test1.mp4
[2025-07-21 15:33:23] - Event: Smoke | Confidence: 56.35% | Video: test1.mp4
[2025-07-21 15:33:24] - Event: Smoke | Confidence: 50.96% | Video: test1.mp4
[2025-07-21 15:33:24] - Event: Smoke | Confidence: 50.86% | Video: test1.mp4
[2025-07-21 15:33:24] - Event: Smoke | Confidence: 50.99% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 50.70% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 50.29% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 50.19% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 54.22% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 55.31% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 54.77% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 54.94% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 51.07% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 50.96% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 50.78% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 52.61% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 55.39% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 54.84% | Video: test1.mp4
[2025-07-21 15:33:25] - Event: Smoke | Confidence: 52.66% | Video: test1.mp4
[2025-07-21 15:33:26] - Event: Smoke | Confidence: 54.60% | Video: test1.mp4
[2025-07-21 15:33:26] - Event: Smoke | Confidence: 56.91% | Video: test1.mp4
[2025-07-21 15:33:26] - Event: Smoke | Confidence: 56.08% | Video: test1.mp4
[2025-07-21 15:33:26] - Event: Smoke | Confidence: 50.46% | Video: test1.mp4
[2025-07-21 15:33:26] - Event: Smoke | Confidence: 50.58% | Video: test1.mp4
[2025-07-21 15:33:29] - Event: Smoke | Confidence: 55.59% | Video: test1.mp4
[2025-07-21 15:33:29] - Event: Smoke | Confidence: 55.15% | Video: test1.mp4
[2025-07-21 15:33:29] - Event: Smoke | Confidence: 54.73% | Video: test1.mp4
[2025-07-21 15:33:29] - Event: Smoke | Confidence: 54.88% | Video: test1.mp4
[2025-07-21 15:33:29] - Event: Smoke | Confidence: 54.76% | Video: test1.mp4
[2025-07-21 15:33:29] - Event: Smoke | Confidence: 56.75% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 56.55% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 56.68% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 56.78% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 56.66% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 56.75% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 55.54% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 55.85% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 55.97% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 56.06% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 55.51% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 55.68% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 55.77% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 54.35% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 55.08% | Video: test1.mp4
[2025-07-21 15:33:30] - Event: Smoke | Confidence: 54.76% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 50.31% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 50.20% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 50.97% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 54.84% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 54.26% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 54.45% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 54.00% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 54.77% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 54.01% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 53.52% | Video: test1.mp4
[2025-07-21 15:33:37] - Event: Smoke | Confidence: 52.93% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 53.82% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 53.86% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 54.56% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 55.33% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 55.65% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 53.87% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 53.29% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 53.50% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 50.77% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 51.38% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 51.96% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 50.29% | Video: test1.mp4
[2025-07-21 15:33:38] - Event: Smoke | Confidence: 50.11% | Video: test1.mp4
[2025-07-21 15:33:39] - Event: Smoke | Confidence: 52.36% | Video: test1.mp4
[2025-07-21 15:33:39] - Event: Smoke | Confidence: 53.23% | Video: test1.mp4
[2025-07-21 15:33:39] - Event: Smoke | Confidence: 50.91% | Video: test1.mp4
